TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_week_return,last_week_return,last_week_volume,2_week_ma,3_week_ma,4_week_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-12-18,3571.0,APPLE INC,1.3594438849513149,-1.2791109275850936,1.2189304214488375,1.3841507893291778,1.3637239127325511,1.295780406447463,0.0,0.0,0.0,1.1640545623479324,0.20731844912306047,-0.011689994978621443,0.3967007639057784,-0.4852941579456331,1.333925494201872,1.2677260849368606,1.259754631680303,True,0.1287513648869739,9,0,0,0
AAPL,2023-12-25,3571.0,APPLE INC,1.2499407367321496,-1.2791109275850936,-1.20185163289468,1.2789412780620562,1.2502300467310588,1.3664438182075407,1.0,0.0,0.0,-0.07555433134539419,-0.6923794040902364,-0.005527083736440064,0.1964662337753396,1.2083366544645489,1.3706752763764647,1.3698456498007208,1.333939793460591,True,-0.8793274070024137,9,0,0,1
AAPL,2024-01-01,3571.0,APPLE INC,1.1345017975175922,-1.2791109275850936,-1.6548745235354843,1.1680287191678562,1.0735555242358923,1.2600818082084646,0.0,0.0,0.0,-0.06294367154948036,-0.4767823273198138,,-0.6963985877837149,-1.2570357084280044,1.2582488334431254,1.3553073126281125,1.382471578485218,False,-1.2396888093034952,9,0,0,0
ABBV,2023-01-09,2834.0,ABBVIE INC,2.04741838358929,0.9099549573773715,-0.18062162243748622,2.0525524242614446,2.164210872321193,2.0456093880891553,9.0,0.0,1.0,0.5132781683422232,0.0012287101094025487,-0.04061888626259458,,,,,,False,0.4146873957913717,3,0,1,1
ABBV,2023-01-16,2834.0,ABBVIE INC,1.0185490281925949,0.9099549573773715,0.7163267003457382,1.0106189079190215,1.4466871982297298,0.8272130219976401,3.0,0.0,0.0,1.270407875821221,-1.5970401183628053,-0.032877733289336186,0.0011541492374959003,-0.20930383965934876,1.6277232932623866,,,False,1.65600908892079,2,0,0,1
ABBV,2023-01-23,2834.0,ABBVIE INC,0.25222267963773193,0.9099549573773715,1.0113309737834184,0.23456206180199168,0.5236175815139584,0.28813245622286593,2.0,0.0,0.0,0.045934131786654536,-1.2947411330963976,-0.01952178540688687,-1.5813679679948214,0.6958513465880736,0.6795788484779306,1.2443455055126575,,False,0.6281487521321044,2,0,0,1
ABBV,2023-01-30,2834.0,ABBVIE INC,-0.1144266941817896,0.9099549573773715,-0.31051813950886126,-0.13674287533575,-0.262631998092411,0.04496781716130498,0.0,0.0,0.0,-0.2662495236172756,-0.7731793572107047,-0.004325523006689536,-1.2820473395256566,0.9935548388457919,0.08119025224835776,0.4546451994885221,0.962633778271918,False,-0.7987144110021083,2,0,0,0
ABBV,2023-02-06,2834.0,ABBVIE INC,-0.2551435615574632,0.9099549573773715,0.0699762167881268,-0.2792465077594195,-0.3906261157027524,-0.1891894375718402,3.0,0.0,0.0,1.0361659925923705,-0.17975164440216904,0.06006027581819251,-0.7656241752003778,-0.3403888789153372,-0.18677857254411476,-0.010621918053198372,0.3085585015018805,False,-0.5343621491628949,2,0,0,1
ABBV,2023-02-13,2834.0,ABBVIE INC,0.13104866344769395,0.9099549573773715,1.1657523481473007,0.1118494276701859,0.35716091630526503,-0.16088455895091813,5.0,0.0,0.0,0.11150342195255901,2.3345717022060133,-0.015741956156545278,-0.17804312264628586,0.043586910092665535,-0.05712914426420564,-0.054885569806684804,0.05645147440209713,False,1.3407527859037993,2,0,0,1
ABBV,2023-02-20,2834.0,ABBVIE INC,0.42766377594919697,0.9099549573773715,-0.46280131436041644,0.41223083717366565,0.38490348366908234,0.4759752100198339,1.0,0.0,0.0,-1.010447749784531,-0.6255736257640113,0.019629066158975528,2.3115082187788882,1.1493891319957037,0.30350005203453634,0.1431346373566255,0.10628799839600298,True,-0.21254129041953757,2,0,0,1
ABBV,2023-02-27,2834.0,ABBVIE INC,0.5870794476408457,0.9099549573773715,0.6118357504347915,0.5736707036586836,0.47884990496928287,0.5480239919639962,3.0,0.0,2.0,-1.5415755049817312,0.7556966050084326,0.006481682756630747,-0.6194727077604884,-0.49406540853678954,0.5443557168134139,0.45079024827126624,0.3055607366759181,True,-0.1517887736922936,2,0,1,1
ABBV,2023-03-06,2834.0,ABBVIE INC,0.9405066920109044,1.338586925708211,-0.10339664370472854,0.9209591146073803,0.6951170888539224,0.9597313173592306,1.0,0.0,0.0,0.6736970401127955,0.24227945963398514,-0.02144593337132017,0.7481887589037161,0.5904043293794007,0.8096749946895643,0.7426440550642371,0.6422213354309652,True,-0.6394475835018918,2,0,0,1
ABBV,2023-03-13,2834.0,ABBVIE INC,0.3317166120552971,1.338586925708211,0.31661646422967255,0.3047590794249533,0.5954947904762403,0.2141550827763002,7.0,0.0,0.0,-2.8502440576110213,-0.848319065618479,0.027443578143095504,0.23982998130182173,-0.13137227076929114,0.6694283421659264,0.7038779370358796,0.6963329623514548,True,1.0041510040366908,2,0,0,1
ABBV,2023-03-20,2834.0,ABBVIE INC,0.9055701789730336,1.338586925708211,4.336910008506841,0.8855973679694282,0.679983518356959,0.8426533332853542,5.0,0.0,1.0,1.1253838656469857,1.06086032562114,0.009095259450624393,-0.8400235805565823,0.2924838570386464,0.6509859761748905,0.8163929469153637,0.8291134265639453,False,-0.38002448531713856,2,0,1,1
ABBV,2023-03-27,2834.0,ABBVIE INC,1.1076308644409103,1.338586925708211,-0.5835526013333652,1.0901174572313452,1.033070739350997,1.1192679059498842,9.0,0.0,3.0,0.12218982125371841,0.34434197993807014,0.01828108199723233,1.050345898330721,4.349562129449872,1.0605773571075687,0.8774100216614031,0.9739779981362788,False,-0.16656641289622992,3,0,1,1
ABBV,2023-04-03,2834.0,ABBVIE INC,1.437707883817758,1.338586925708211,-0.7757769627086262,1.4242120452505114,1.2007871693231675,1.473078888711412,3.0,1.0,0.0,1.789672921229348,0.7030566112429256,0.005360804840599087,0.3408869454647786,-0.6159215410177138,1.341483419476655,1.2812076956685299,1.1151416702589283,True,-0.6328830277755344,3,1,0,1
ABBV,2023-04-10,2834.0,ABBVIE INC,1.706318926947262,1.338586925708211,-0.4427304439039731,1.6960925171512038,1.4176836050766493,1.8140227309689434,4.0,0.0,0.0,-0.443339736256548,0.1985081690013867,0.008472266047206745,0.6960673930227854,-0.8099047095039622,1.6575202360655272,1.5735612522936562,1.5054140864880239,True,-0.9382842874034194,3,0,0,1
ABBV,2023-04-17,2834.0,ABBVIE INC,1.83505120933906,1.338586925708211,-0.9868741788787959,1.8263916786367578,1.5803559318917595,2.012158167900794,4.0,0.0,1.0,0.3254117403932163,0.32001352727327936,0.017992330916582144,0.19648994094571634,-0.4738108943973607,1.8672707347891553,1.839142591671911,1.769309180821958,True,-1.020385566900596,3,0,1,1
ABBV,2023-04-24,2834.0,ABBVIE INC,1.830619681166215,1.338586925708211,-0.4756974370429697,1.8219062116327327,1.6913262013470323,1.7368288940427303,2.0,0.0,2.0,-0.42721072732343224,0.6917806218681299,-0.06320033597653973,0.3167981853424445,-1.0229334149102176,1.9328868997390587,1.982594781494746,1.9745777078374813,True,-0.02864178032627901,3,0,1,1
ABBV,2023-05-01,2834.0,ABBVIE INC,1.084165952748979,1.338586925708211,1.449826337863177,1.0663669397932594,1.923354946571684,0.2894203282001171,5.0,1.0,0.0,0.17058236252260964,-2.478866037312021,-0.040725106285446566,0.6849024986937454,-0.5070795276695116,1.536507882053648,1.755446583970962,1.874201284648236,False,4.270009268103395,3,1,0,1
ABBV,2023-05-08,2834.0,ABBVIE INC,0.12756909058721946,1.338586925708211,-0.18542425082158093,0.09812675400958523,0.5135281141740553,0.18520819804484093,3.0,0.0,0.0,-0.6301443312673848,-1.6011881057794157,-0.005832905303261526,-2.4545058252974763,1.436062331039598,0.637497661467064,1.1320444599541761,1.4259679981315103,False,0.8645811276353891,2,0,0,1
ABBV,2023-05-15,2834.0,ABBVIE INC,-0.13654472188667735,1.338586925708211,-0.7676485736703337,-0.16920174869934496,-0.25822092988156525,0.031216792493105557,10.0,0.0,1.0,-0.26280696272146087,-0.2386162786803438,-0.011528870187631046,-1.5854750879685382,-0.21415041094897816,-0.006893866857118366,0.4138322727308984,0.8661991838563795,False,-0.7521287243917074,2,0,1,1
ABBV,2023-05-22,2834.0,ABBVIE INC,-0.48826158398976255,1.338586925708211,-0.33511384285483237,-0.525199571163826,-0.5053807235516047,-0.564872371994988,2.0,0.0,1.0,0.5092692557628761,-0.4610488298269498,-0.05065580869667041,-0.23632780167431272,-0.8017019476424795,-0.33197996450922396,-0.16026139155999147,0.20783029818202373,False,0.12570245135911626,2,0,1,1
