gvkey,adate,qdate,public_date,TICKER
031099,2022-12-31,2023-09-30,2023-11-30,CPHC
031099,2022-12-31,2023-09-30,2023-12-31,CPHC
031108,2021-12-31,2022-09-30,2023-01-31,FPH
031108,2022-12-31,2022-12-31,2023-02-28,FPH
031108,2022-12-31,2022-12-31,2023-03-31,FPH
031108,2022-12-31,2022-12-31,2023-04-30,FPH
031108,2022-12-31,2023-03-31,2023-05-31,FPH
031108,2022-12-31,2023-03-31,2023-06-30,FPH
031108,2022-12-31,2023-03-31,2023-07-31,FPH
031108,2022-12-31,2023-06-30,2023-08-31,FPH
031108,2022-12-31,2023-06-30,2023-09-30,FPH
031108,2022-12-31,2023-06-30,2023-10-31,FPH
031108,2022-12-31,2023-09-30,2023-11-30,FPH
031108,2022-12-31,2023-09-30,2023-12-31,FPH
031109,2021-12-31,2022-09-30,2023-01-31,AM
031109,2022-12-31,2022-12-31,2023-02-28,AM
031109,2022-12-31,2022-12-31,2023-03-31,AM
031109,2022-12-31,2022-12-31,2023-04-30,AM
031109,2022-12-31,2023-03-31,2023-05-31,AM
031109,2022-12-31,2023-03-31,2023-06-30,AM
031109,2022-12-31,2023-03-31,2023-07-31,AM
031109,2022-12-31,2023-06-30,2023-08-31,AM
031109,2022-12-31,2023-06-30,2023-09-30,AM
031109,2022-12-31,2023-06-30,2023-10-31,AM
031109,2022-12-31,2023-09-30,2023-11-30,AM
031109,2022-12-31,2023-09-30,2023-12-31,AM
031112,2021-12-31,2022-09-30,2023-01-31,OVID
031112,2022-12-31,2022-12-31,2023-02-28,OVID
031112,2022-12-31,2022-12-31,2023-03-31,OVID
031112,2022-12-31,2022-12-31,2023-04-30,OVID
031112,2022-12-31,2023-03-31,2023-05-31,OVID
031112,2022-12-31,2023-03-31,2023-06-30,OVID
031112,2022-12-31,2023-03-31,2023-07-31,OVID
031112,2022-12-31,2023-06-30,2023-08-31,OVID
031112,2022-12-31,2023-06-30,2023-09-30,OVID
031112,2022-12-31,2023-06-30,2023-10-31,OVID
031112,2022-12-31,2023-09-30,2023-11-30,OVID
031112,2022-12-31,2023-09-30,2023-12-31,OVID
031170,2021-12-31,2022-09-30,2023-01-31,USAP
031170,2022-12-31,2022-12-31,2023-02-28,USAP
031170,2022-12-31,2022-12-31,2023-03-31,USAP
031170,2022-12-31,2022-12-31,2023-04-30,USAP
031170,2022-12-31,2023-03-31,2023-05-31,USAP
031170,2022-12-31,2023-03-31,2023-06-30,USAP
031170,2022-12-31,2023-03-31,2023-07-31,USAP
031170,2022-12-31,2023-06-30,2023-08-31,USAP
031170,2022-12-31,2023-06-30,2023-09-30,USAP
031170,2022-12-31,2023-06-30,2023-10-31,USAP
031170,2022-12-31,2023-09-30,2023-11-30,USAP
031170,2022-12-31,2023-09-30,2023-12-31,USAP
031177,2021-12-31,2022-09-30,2023-01-31,SVRA
031177,2022-12-31,2022-12-31,2023-02-28,SVRA
031177,2022-12-31,2022-12-31,2023-03-31,SVRA
031177,2022-12-31,2022-12-31,2023-04-30,SVRA
031177,2022-12-31,2023-03-31,2023-05-31,SVRA
031177,2022-12-31,2023-03-31,2023-06-30,SVRA
031177,2022-12-31,2023-03-31,2023-07-31,SVRA
031177,2022-12-31,2023-06-30,2023-08-31,SVRA
031177,2022-12-31,2023-06-30,2023-09-30,SVRA
031177,2022-12-31,2023-06-30,2023-10-31,SVRA
031177,2022-12-31,2023-09-30,2023-11-30,SVRA
031177,2022-12-31,2023-09-30,2023-12-31,SVRA
031214,2022-01-31,2022-10-31,2023-01-31,MIND
031214,2022-01-31,2022-10-31,2023-02-28,MIND
031214,2023-01-31,2023-01-31,2023-03-31,MIND
031214,2023-01-31,2023-01-31,2023-04-30,MIND
