EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
Neil M. Ashe,,WALMART INC,,804.396,500,42.488,1304.396,,2074.278,,011259,2012,MALE,55,WMT,3010,61.66808239
Rosalind Gates Brewer,,WALMART INC,,801.992,0,268.16,801.992,14457.121,,,011259,2012,FEMALE,61,WMT,3010,100
Michael Terry Duke,,WALMART INC,CEO,1366.593,0,490.09,1366.593,5643.677,3.866,-72.727,011259,2013,MALE,74,WMT,3010,100
C. Douglas McMillon,,WALMART INC,,954.408,0,254.091,954.408,25592.938,2.652,167.622,011259,2013,MALE,58,WMT,3010,100
"William S. Simon, B.A. (Econ)",,WALMART INC,,939.684,0,128.602,939.684,13054.36,4.44,16.33,011259,2013,MALE,65,WMT,3010,100
"Charles M. Holley, Jr.",CFO,WALMART INC,,793.617,0,210.336,793.617,8199.392,5.534,23.51,011259,2013,MALE,67,WMT,3010,100
Neil M. Ashe,,WALMART INC,,843.544,0,51.169,843.544,13178.743,4.867,,011259,2013,MALE,55,WMT,3010,100
Rosalind Gates Brewer,,WALMART INC,,843.544,0,349.909,843.544,11664.423,5.181,-19.317,011259,2013,FEMALE,61,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1200.93,0,393.673,1200.93,19392.608,25.83,-24.227,011259,2014,MALE,58,WMT,3010,100
"Charles M. Holley, Jr.",CFO,WALMART INC,,885.165,0,261.382,885.165,7431.841,11.536,-9.361,011259,2014,MALE,67,WMT,3010,100
Neil M. Ashe,,WALMART INC,,935.303,0,232.199,935.303,9436.774,10.878,-28.394,011259,2014,MALE,55,WMT,3010,100
Rosalind Gates Brewer,,WALMART INC,,893.819,0,245.237,893.819,9560.234,5.96,-18.039,011259,2014,FEMALE,61,WMT,3010,100
Gregory S. Foran,,WALMART INC,,846.91,500,1128.815,1346.91,19535.123,,,011259,2014,MALE,63,WMT,3010,62.87799482
"David Cheesewright, BSC",,WALMART INC,,1152.85,551.852,252.586,1704.702,10059.474,,,011259,2014,MALE,62,WMT,3010,67.62765574
C. Douglas McMillon,,WALMART INC,CEO,1263.231,0,463.054,1263.231,19808.797,5.188,2.146,011259,2015,MALE,58,WMT,3010,100
"Charles M. Holley, Jr.",CFO,WALMART INC,,942.112,0,300.828,942.112,3006.366,6.433,-59.547,011259,2015,MALE,67,WMT,3010,100
Neil M. Ashe,,WALMART INC,,1000.058,0,253.394,1000.058,10831.166,6.923,14.776,011259,2015,MALE,55,WMT,3010,100
Rosalind Gates Brewer,,WALMART INC,,921.202,0,130.018,921.202,8454.725,3.064,-11.564,011259,2015,FEMALE,61,WMT,3010,100
Gregory S. Foran,,WALMART INC,,976.334,0,1035.779,976.334,11544.279,15.282,-40.905,011259,2015,MALE,63,WMT,3010,100
"David Cheesewright, BSC",,WALMART INC,,1033.037,500.939,286.24,1533.976,10171.606,-10.393,1.115,011259,2015,MALE,62,WMT,3010,67.34375244
M. Brett Biggs,,WALMART INC,,623.126,0,119.14,623.126,8613.058,,,011259,2015,MALE,56,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1278.989,0,486.732,1278.989,22352.143,1.247,12.839,011259,2016,MALE,58,WMT,3010,100
Gregory S. Foran,,WALMART INC,,1006.424,0,1027.673,1006.424,11553.853,3.082,0.083,011259,2016,MALE,63,WMT,3010,100
"David Cheesewright, BSC",,WALMART INC,,1071.743,0,962.853,1071.743,12552.574,3.747,23.408,011259,2016,MALE,62,WMT,3010,100
M. Brett Biggs,CFO,WALMART INC,,854.67,0,249.785,854.67,6409.16,37.158,-25.588,011259,2016,MALE,56,WMT,3010,100
Marc E. Lore,,WALMART INC,,346.154,0,26.113,346.154,243876.539,,,011259,2016,MALE,52,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1276.982,0,473.765,1276.982,22791.276,-0.157,1.965,011259,2017,MALE,58,WMT,3010,100
Gregory S. Foran,,WALMART INC,,1051.426,0,178.168,1051.426,11017.752,4.471,-4.64,011259,2017,MALE,63,WMT,3010,100
M. Brett Biggs,CFO,WALMART INC,,871.087,0,316.133,871.087,7593.171,1.921,18.474,011259,2017,MALE,56,WMT,3010,100
Marc E. Lore,,WALMART INC,,1030.77,0,123.862,1030.77,10263.963,197.778,-95.791,011259,2017,MALE,52,WMT,3010,100
John R. Furner,,WALMART INC,,780.827,0,538.384,780.827,12876.788,,,011259,2017,MALE,49,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1276.892,0,569.953,1276.892,23618.233,-0.007,3.628,011259,2018,MALE,58,WMT,3010,100
Gregory S. Foran,,WALMART INC,,1104.201,0,248.88,1104.201,13486.493,5.019,22.407,011259,2018,MALE,63,WMT,3010,100
M. Brett Biggs,CFO,WALMART INC,,892.948,0,324.45,892.948,9420.414,2.51,24.064,011259,2018,MALE,56,WMT,3010,100
John R. Furner,,WALMART INC,,799.425,0,326.869,799.425,9286.777,2.382,-27.88,011259,2018,MALE,49,WMT,3010,100
Judith McKenna,,WALMART INC,,1044.21,0,282.956,1044.21,12922.324,,,011259,2018,FEMALE,58,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1276.892,0,410.091,1276.892,22105.35,0,-6.406,011259,2019,MALE,58,WMT,3010,100
M. Brett Biggs,CFO,WALMART INC,,915.358,0,262.413,915.358,8798.492,2.51,-6.602,011259,2019,MALE,56,WMT,3010,100
John R. Furner,,WALMART INC,,847.895,0,325.933,847.895,9874.823,6.063,6.332,011259,2019,MALE,49,WMT,3010,100
Judith McKenna,,WALMART INC,,1066.214,0,290.755,1066.214,12206.289,2.107,-5.541,011259,2019,FEMALE,58,WMT,3010,100
Suresh Kumar,,WALMART INC,,576.923,515.1,21.603,1092.023,45898.653,,,011259,2019,MALE,58,WMT,3010,52.83066382
Kathryn J. McLay,,WALMART INC,,640.409,0,17.901,640.409,13508.708,,,011259,2019,FEMALE,49,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1272,0,282.984,1272,22574.357,-0.383,2.122,011259,2020,MALE,58,WMT,3010,100
M. Brett Biggs,CFO,WALMART INC,,934.721,0,306.767,934.721,9123.103,2.115,3.689,011259,2020,MALE,56,WMT,3010,100
John R. Furner,,WALMART INC,,944.567,0,346.42,944.567,11331.882,11.401,14.755,011259,2020,MALE,49,WMT,3010,100
Judith McKenna,,WALMART INC,,1088.769,0,253.977,1088.769,12012.919,2.115,-1.584,011259,2020,FEMALE,58,WMT,3010,100
Suresh Kumar,,WALMART INC,,1021.154,0,18.389,1021.154,11736.981,77,-74.428,011259,2020,MALE,58,WMT,3010,100
Kathryn J. McLay,,WALMART INC,,780,0,194.067,780,12957.671,21.797,-4.079,011259,2020,FEMALE,49,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1276.892,0,354.41,1276.892,25670.673,0.385,13.716,011259,2021,MALE,58,WMT,3010,100
M. Brett Biggs,CFO,WALMART INC,,994.345,0,387.249,994.345,3478.626,6.379,-61.87,011259,2021,MALE,56,WMT,3010,100
John R. Furner,,WALMART INC,,1088.776,0,415.361,1088.776,14695.375,15.267,29.682,011259,2021,MALE,49,WMT,3010,100
Judith McKenna,,WALMART INC,,1111.008,0,431.862,1111.008,13900.433,2.043,15.712,011259,2021,FEMALE,58,WMT,3010,100
Suresh Kumar,,WALMART INC,,1050.724,0,272.903,1050.724,16706.359,2.896,42.339,011259,2021,MALE,58,WMT,3010,100
Kathryn J. McLay,,WALMART INC,,799.575,0,286.458,799.575,11530.221,2.51,-11.016,011259,2021,FEMALE,49,WMT,3010,100
C. Douglas McMillon,,WALMART INC,CEO,1471.569,0,199.581,1471.569,24115.143,15.246,-6.06,011259,2022,MALE,58,WMT,3010,100
M. Brett Biggs,,WALMART INC,,1003.846,0,299.323,1003.846,1749.219,0.956,-49.715,011259,2022,MALE,56,WMT,3010,100
John R. Furner,,WALMART INC,,1223.704,0,358.884,1223.704,13869.897,12.393,-5.617,011259,2022,MALE,49,WMT,3010,100
Judith McKenna,,WALMART INC,,1148.313,0,354.342,1148.313,13526.16,3.358,-2.693,011259,2022,FEMALE,58,WMT,3010,100
Suresh Kumar,,WALMART INC,,1096.825,0,185.57,1096.825,16107.812,4.388,-3.583,011259,2022,MALE,58,WMT,3010,100
Kathryn J. McLay,,WALMART INC,,973.771,0,335.639,973.771,11934.475,21.786,3.506,011259,2022,FEMALE,49,WMT,3010,100
John David Rainey,CFO,WALMART INC,,700,5000,474.742,5700,39725.601,,,011259,2022,MALE,53,WMT,3010,12.28070175
"William Henry Gates, III",,MICROSOFT CORP,CEO,175,110.296,0,285.296,,,,012141,1992,MALE,67,MSFT,4510,61.33980147
Michael J. Maples,,MICROSOFT CORP,,203.75,221.179,3.075,424.929,,,,012141,1992,MALE,,MSFT,4510,47.94918681
Steven A. Ballmer,,MICROSOFT CORP,,174.25,129.735,4.553,303.985,,,,012141,1992,MALE,67,MSFT,4510,57.32190733
